Ticker,Name,Country,subSector,subSectorB,fabType,fabTypeB,yahooLink
2354,"Foxconn Technology Co., Ltd.",TW,TPA,,,,https://finance.yahoo.com/quote/2354.TW?p=2354.TW&.tsrc=fin-srch
2357,ASUSTeK Computer Inc.,TW,IDM,,GPU,,https://finance.yahoo.com/quote/2357.TW?p=2357.TW&.tsrc=fin-srch
2454,MediaTek Inc.,TW,IDM,,ASIC,,https://finance.yahoo.com/quote/2454.TW?p=2454.TW&.tsrc=fin-srch
3436,Sumco Corporation,JP,Materials,,,,https://finance.yahoo.com/quote/3436.T?p=3436.T&.tsrc=fin-srch
3711,ASE Technology Holding Co. Ltd.,TW,TPA,,,,https://finance.yahoo.com/quote/3711.TW?p=3711.TW&.tsrc=fin-srch
4063,Shin-Etsu Chemical Co. Ltd.,JP,Materials,,,,https://finance.yahoo.com/quote/4063.T?p=4063.T&.tsrc=fin-srch
6488,GlobalWafers Co. Ltd.,TW,Materials,,,,https://finance.yahoo.com/quote/6488.TWO?p=6488.TWO&.tsrc=fin-srch
600584,JCET Group Co. Ltd.,CN,TPA,,,,https://finance.yahoo.com/quote/600584.SS?p=600584.SS&.tsrc=fin-srch
A000660,SK hynix Inc.,JP,Design,,Memory,,https://finance.yahoo.com/quote/000660.KS?p=000660.KS&.tsrc=fin-srch
A005930,Samsung Electronics Co. Ltd.,KR,IDM,,Memory,,https://finance.yahoo.com/quote/005930.KS?p=005930.KS&.tsrc=fin-srch
ACLS,Axcelis Technologies Inc.,US,Equipment,,,,
ADI,Analog Devices Inc.,US,Design,,Analog,,
AFX,Carl Zeiss Meditec AG,DE,Equipment,,,,https://finance.yahoo.com/quote/AFX.DE?p=AFX.DE&.tsrc=fin-srch
AMAT,Applied Materials Inc.,US,Equipment,,,,
AMD,Advanced Micro Devices Inc.,US,Design,IP,CPU,GPU,
AMKR,Amkor Technology Inc.,US,TPA,,,,
ANSS,ANSYS Inc.,US,EDA,,,,
ARM,Arm Holdings plc,GB,IP,,,,
ARW,Arrow Electronics Inc.,US,TPA,,,,
ASML,ASML Holding N.V.,NL,Equipment,,,,
AVGO,Broadcom Inc.,US,Design,,ASIC,,
CDNS,Cadence Design Systems Inc.,US,EDA,,,,
COHR,Coherent Corp.,US,Equipment,,,,
ENTG,Entegris Inc.,US,Equipment,,,,
GFS,GLOBALFOUNDRIES Inc.,US,Fabrication,,,,
IFX,Infineon Technologies AG,DE,IDM,,ASIC,,https://finance.yahoo.com/quote/IFX.DE?p=IFX.DE&.tsrc=fin-srch
INTC,Intel Corporation,US,IDM,IP,CPU,GPU,
KLAC,KLA Corporation,US,Equipment,,,,
LRCX,Lam Research Corporation,US,Equipment,,,,
LSCC,Lattice Semiconductor Corporation,US,Design,,ASIC,,
MCHP,Microchip Technology Incorporated,US,IDM,,ASIC,,
MPWR,Monolithic Power Systems Inc.,US,Design,,Analog,,
MRVL,Marvell Technology Inc.,US,Design,,ASIC,,
MU,Micron Technology Inc.,US,IDM,,Memory,,
NVDA,NVIDIA Corporation,US,Design,,GPU,,
NXPI,NXP Semiconductors N.V.,NL,Design,,ASIC,,
ON,ON Semiconductor Corporation,US,Design,,Analog,,
QCOM,QUALCOMM Incorporated,US,Design,,SoC,,
QRVO,Qorvo Inc.,US,Design,,Analog,,
RMBS,Rambus Inc.,US,Design,,Memory,,
688981,SMIC,CN,Fabrication,,,,https://finance.yahoo.com/quote/0981.HK?p=0981.HK&.tsrc=fin-srch
SNPS,Synopsys Inc.,US,EDA,,,,
STM,STMicroelectronics N.V.,CH,IDM,,Analog,,
SWKS,Skyworks Solutions Inc.,US,IDM,,Analog,,
TER,Teradyne Inc.,US,TPA,,,,
TSM,Taiwan Semiconductor Manufacturing Company Limited,TW,Fabrication,,,,
TXN,Texas Instruments Incorporated,US,IDM,,Analog,,
WAF,Siltronic AG,DE,Materials,,,,https://finance.yahoo.com/quote/WAF.DE?p=WAF.DE&.tsrc=fin-srch
WCH,Wacker Chemie AG,DE,Materials,,,,https://finance.yahoo.com/quote/WCH.DE?p=WCH.DE&.tsrc=fin-srch
WOLF,Wolfspeed Inc.,US,Materials,,,,
8035,Tokyo Electron Limited,JP,Equipment,,,,https://finance.yahoo.com/quote/8035.T?p=8035.T&.tsrc=fin-srch
6723,Renesas Electronics,JP,IDM,,ASIC,,https://finance.yahoo.com/quote/6723.T?p=6723.T&.tsrc=fin-srch
6857,Advantest Corporation,JP,TPA,,,,https://finance.yahoo.com/quote/ATEYY?p=ATEYY&.tsrc=fin-srch
2303,United Microelectronics Corporation,TW,Materials,,,,
6920,Lasertec Corporation,JP,Equipment,,,,https://finance.yahoo.com/quote/6920.T?p=6920.T&.tsrc=fin-srch
